Open,Close,High,Low,Volume,Date
1980.03,1969.95,1984.85,1969.95,492,7/29/2014
1978.25,1978.91,1981.52,1967.31,436,7/28/2014
1984.6,1978.34,1984.6,1974.37,414,7/25/2014
1988.07,1987.98,1991.39,1985.79,471,7/24/2014
1985.32,1987.01,1989.23,1982.44,468,7/23/2014
1975.65,1983.53,1986.24,1975.65,425,7/22/2014
1976.93,1973.63,1976.93,1965.77,397,7/21/2014
1961.54,1978.22,1979.91,1960.82,582,7/18/2014
1979.75,1958.12,1981.8,1955.59,541,7/17/2014
1976.35,1981.57,1983.94,1975.67,517,7/16/2014
1977.36,1973.28,1982.52,1965.34,544,7/15/2014
1969.86,1977.1,1979.85,1969.86,398,7/14/2014
1965.76,1967.57,1968.67,1959.63,375,7/11/2014
1966.67,1964.68,1969.84,1952.86,417,7/10/2014
1965.1,1972.83,1974.15,1965.1,414,7/9/2014
1976.39,1963.71,1976.39,1959.46,482,7/8/2014
1984.22,1977.65,1984.22,1974.88,399,7/7/2014
1975.88,1985.44,1985.59,1975.88,366,7/3/2014
1973.06,1974.62,1976.67,1972.58,386,7/2/2014
1962.29,1973.32,1978.58,1962.29,438,7/1/2014
1960.79,1960.23,1964.24,1958.22,527,6/30/2014
1956.56,1960.96,1961.47,1952.18,736,6/27/2014
1959.89,1957.22,1959.89,1944.69,404,6/26/2014
1949.27,1959.53,1960.83,1947.49,455,6/25/2014
1961.97,1949.98,1968.17,1948.34,482,6/24/2014
1962.92,1962.61,1963.74,1958.89,411,6/23/2014
1960.45,1962.87,1963.91,1959.17,1,6/20/2014
1957.5,1959.48,1959.87,1952.26,476,6/19/2014
1942.73,1956.98,1957.74,1939.29,436,6/18/2014
1937.15,1941.99,1943.69,1933.55,405,6/17/2014
1934.84,1937.78,1941.15,1930.91,437,6/16/2014
1930.8,1936.16,1937.3,1927.69,445,6/13/2014
1943.35,1930.11,1943.35,1925.78,459,6/12/2014
1949.37,1943.89,1949.37,1940.08,387,6/11/2014
1950.34,1950.79,1950.86,1944.64,405,6/10/2014
1948.97,1951.27,1955.55,1947.16,422,6/9/2014
1942.41,1949.44,1949.44,1942.41,445,6/6/2014
1928.52,1940.46,1941.74,1922.93,431,6/5/2014
1923.06,1927.88,1928.63,1918.6,403,6/4/2014
1923.07,1924.24,1925.07,1918.79,414,6/3/2014
1923.87,1924.97,1925.88,1915.98,376,6/2/2014
1920.33,1923.57,1924.03,1916.64,600,5/30/2014
1910.6,1920.03,1920.03,1909.82,371,5/29/2014
1911.77,1909.78,1914.46,1907.3,408,5/28/2014
1902.01,1911.91,1912.28,1902.01,469,5/27/2014
1893.32,1900.53,1901.26,1893.32,373,5/23/2014
1888.19,1892.49,1896.33,1885.39,385,5/22/2014
1873.34,1888.03,1888.8,1873.34,410,5/21/2014
1884.88,1872.83,1884.88,1868.14,434,5/20/2014
1876.66,1885.08,1886,1872.42,433,5/19/2014
1871.19,1877.86,1878.28,1864.82,624,5/16/2014
1888.16,1870.85,1888.16,1862.36,547,5/15/2014
1897.13,1888.53,1897.13,1885.77,422,5/14/2014
1896.75,1897.45,1902.17,1896.06,418,5/13/2014
1880.03,1896.65,1897.13,1880.03,448,5/12/2014
1875.27,1878.48,1878.57,1867.02,473,5/9/2014
1877.39,1875.63,1889.07,1870.05,488,5/8/2014
1868.53,1878.21,1878.83,1859.79,563,5/7/2014
1883.69,1867.72,1883.69,1867.72,474,5/6/2014
1879.45,1884.66,1885.51,1866.77,417,5/5/2014
1885.3,1881.14,1891.33,1878.5,463,5/2/2014
1884.39,1883.68,1888.59,1878.04,468,5/1/2014
1877.1,1883.95,1885.2,1872.69,629,4/30/2014
1870.78,1878.33,1880.6,1870.78,489,4/29/2014
1865,1869.43,1877.01,1850.61,644,4/28/2014
1877.72,1863.4,1877.72,1859.7,526,4/25/2014
1881.97,1878.61,1884.06,1870.24,523,4/24/2014
1879.32,1875.39,1879.75,1873.91,477,4/23/2014
1872.57,1879.55,1884.89,1872.57,492,4/22/2014
1865.79,1871.89,1871.89,1863.18,445,4/21/2014
1861.73,1864.85,1869.63,1856.72,665,4/17/2014
1846.01,1862.31,1862.31,1846.01,536,4/16/2014
1831.45,1842.98,1844.02,1816.29,591,4/15/2014
1818.18,1830.61,1834.19,1815.8,524,4/14/2014
1830.65,1815.69,1835.07,1814.36,662,4/11/2014
1872.28,1833.08,1872.53,1830.87,636,4/10/2014
1852.64,1872.18,1872.43,1852.38,528,4/9/2014
1845.48,1851.96,1854.95,1837.49,552,4/8/2014
1863.92,1845.04,1864.04,1841.48,658,4/7/2014
1890.25,1865.09,1897.28,1863.26,638,4/4/2014
1891.43,1888.77,1893.8,1882.65,486,4/3/2014
1886.61,1890.9,1893.17,1883.79,465,4/2/2014
1873.96,1885.52,1885.84,1873.96,517,4/1/2014
1859.16,1872.34,1875.18,1859.16,577,3/31/2014
1850.07,1857.62,1866.63,1850.07,453,3/28/2014
1852.11,1849.04,1855.55,1842.11,583,3/27/2014
1867.09,1852.56,1875.92,1852.56,557,3/26/2014
1859.48,1865.62,1871.87,1855.96,491,3/25/2014
1867.67,1857.44,1873.34,1849.69,588,3/24/2014
1874.53,1866.52,1883.97,1863.46,1,3/21/2014
1860.09,1872.01,1873.49,1854.63,467,3/20/2014
1872.25,1860.77,1874.14,1850.35,499,3/19/2014
1858.92,1872.25,1873.76,1858.92,408,3/18/2014
1842.81,1858.83,1862.3,1842.81,452,3/17/2014
1845.07,1841.13,1852.44,1839.57,491,3/14/2014
1869.06,1846.34,1874.4,1841.86,512,3/13/2014
1866.15,1868.2,1868.38,1854.38,449,3/12/2014
1878.26,1867.63,1882.35,1863.88,442,3/11/2014
1877.86,1877.17,1877.87,1867.04,430,3/10/2014
1878.52,1878.04,1883.57,1870.56,497,3/7/2014
1874.18,1877.03,1881.94,1874.18,498,3/6/2014
1874.05,1873.81,1876.53,1871.11,482,3/5/2014
1849.23,1873.91,1876.23,1849.23,544,3/4/2014
1857.68,1845.73,1857.68,1834.44,498,3/3/2014
1855.12,1859.45,1867.92,1847.67,716,2/28/2014
1844.9,1854.29,1854.53,1841.13,506,2/27/2014
1845.79,1845.16,1852.65,1840.66,493,2/26/2014
1847.66,1845.12,1852.91,1840.19,498,2/25/2014
1836.78,1847.61,1858.71,1836.78,694,2/24/2014
1841.07,1836.25,1846.13,1835.6,673,2/21/2014
1829.24,1839.78,1842.79,1824.58,512,2/20/2014
1838.9,1828.75,1847.5,1826.99,516,2/19/2014
1839.03,1840.76,1842.87,1835.01,538,2/18/2014
1828.46,1838.63,1841.65,1825.59,488,2/14/2014
1814.82,1829.83,1830.25,1809.22,534,2/13/2014
1820.12,1819.26,1826.55,1815.97,483,2/12/2014
1800.45,1819.75,1823.54,1800.41,532,2/11/2014
1796.2,1799.84,1799.94,1791.83,485,2/10/2014
1776.01,1797.02,1798.03,1776.01,589,2/7/2014
1752.99,1773.43,1774.06,1752.99,561,2/6/2014
1753.38,1751.64,1755.79,1737.92,578,2/5/2014
1743.82,1755.2,1758.73,1743.82,620,2/4/2014
1782.68,1741.89,1784.83,1739.66,744,2/3/2014
1790.88,1782.59,1793.88,1772.26,755,1/31/2014
1777.17,1794.19,1798.77,1777.17,545,1/30/2014
1790.15,1774.2,1790.15,1770.45,601,1/29/2014
1783,1792.5,1793.87,1779.49,494,1/28/2014
1791.03,1781.56,1795.98,1772.88,631,1/27/2014
1826.96,1790.29,1826.96,1790.29,711,1/24/2014
1842.29,1828.46,1842.29,1820.06,581,1/23/2014
1844.71,1844.86,1846.87,1840.88,500,1/22/2014
1841.05,1843.8,1849.31,1832.38,594,1/21/2014
1844.23,1838.7,1846.04,1835.23,806,1/17/2014
1847.99,1845.89,1847.99,1840.3,473,1/16/2014
1840.52,1848.38,1850.84,1840.52,556,1/15/2014
1821.36,1838.88,1839.26,1821.36,510,1/14/2014
1841.26,1819.2,1843.45,1815.52,574,1/13/2014
1840.06,1842.37,1843.15,1832.43,486,1/10/2014
1839,1838.13,1843.23,1830.38,520,1/9/2014
1837.9,1837.49,1840.02,1831.4,576,1/8/2014
1828.71,1837.88,1840.1,1828.71,496,1/7/2014
1832.31,1826.77,1837.16,1823.73,491,1/6/2014
1833.21,1831.37,1838.24,1829.13,387,1/3/2014
1845.86,1831.98,1845.86,1827.74,446,1/2/2014
1842.61,1848.36,1849.44,1842.41,393,12/31/2013
1841.47,1841.07,1842.47,1838.77,301,12/30/2013
1842.97,1841.4,1844.89,1839.81,269,12/27/2013
1834.96,1842.02,1842.84,1834.96,293,12/26/2013
1828.02,1833.32,1833.32,1828.02,183,12/24/2013
1822.92,1827.99,1829.75,1822.92,433,12/23/2013
1810.39,1818.32,1823.75,1810.25,1,12/20/2013
1809,1809.6,1810.88,1801.35,510,12/19/2013
1781.46,1810.65,1811.08,1767.99,690,12/18/2013
1786.47,1781,1786.77,1777.05,506,12/17/2013
1777.48,1786.54,1792.22,1777.48,529,12/16/2013
1777.98,1775.32,1780.92,1772.45,440,12/13/2013
1781.71,1775.5,1782.99,1772.28,516,12/12/2013
1802.76,1782.22,1802.97,1780.09,545,12/11/2013
1807.6,1802.62,1808.52,1801.75,464,12/10/2013
1806.21,1808.37,1811.52,1806.21,485,12/9/2013
1788.36,1805.09,1806.04,1788.36,499,12/6/2013
1792.82,1785.03,1792.82,1783.38,556,12/5/2013
1793.15,1792.81,1799.8,1779.09,573,12/4/2013
1800.1,1795.15,1800.1,1787.85,525,12/3/2013
1806.55,1800.9,1810.02,1798.6,461,12/2/2013
1808.69,1805.81,1813.55,1803.98,353,11/29/2013
1803.48,1807.23,1808.27,1802.77,372,11/27/2013
1802.87,1802.75,1808.42,1800.77,558,11/26/2013
1806.33,1802.48,1808.1,1800.58,471,11/25/2013
1797.21,1804.76,1804.84,1794.7,439,11/22/2013
1783.52,1795.85,1797.16,1783.52,479,11/21/2013
1789.59,1781.37,1795.73,1777.23,461,11/20/2013
1790.79,1787.87,1795.51,1784.72,459,11/19/2013
1798.82,1791.53,1802.33,1788,482,11/18/2013
1790.66,1798.18,1798.22,1790.66,656,11/15/2013
1782.75,1790.62,1791.53,1780.22,509,11/14/2013
1764.37,1782,1782,1760.64,505,11/13/2013
1769.51,1767.69,1771.78,1762.29,444,11/12/2013
1769.96,1771.89,1773.44,1767.85,376,11/11/2013
1748.37,1770.61,1770.78,1747.63,564,11/8/2013
1770.74,1747.15,1774.54,1746.2,590,11/7/2013
1765,1770.49,1773.74,1764.4,492,11/6/2013
1765.67,1762.97,1767.03,1755.76,477,11/5/2013
1763.4,1767.93,1768.78,1761.56,420,11/4/2013
1758.7,1761.64,1765.67,1752.7,538,11/1/2013
1763.24,1756.54,1768.53,1755.72,624,10/31/2013
1772.27,1763.31,1775.22,1757.24,469,10/30/2013
1762.93,1771.95,1772.09,1762.93,479,10/29/2013
1759.42,1762.11,1764.99,1757.67,564,10/28/2013
1756.01,1759.77,1759.82,1752.45,528,10/25/2013
1747.48,1752.07,1753.94,1745.5,512,10/24/2013
1752.27,1746.38,1752.27,1740.5,520,10/23/2013
