Open,Close,High,Low,Volume,Date
342.36,342.36,342.36,342.36,,04/06/19
341.21,342.36,342.44,341.17,,04/05/19
341.26,341.21,341.38,340.39,,04/04/19
339.33,341.26,342.17,339.33,,04/03/19
339.3,339.33,339.65,338.67,,04/02/19
335.45,339.3,339.33,335.45,,04/01/19
333.46,335.45,335.45,333.29,,03/29/19
332.53,333.22,333.63,331.96,,03/28/19
334.16,333.07,334.9,331.79,,03/27/19
332.59,334.52,335.43,332.57,,03/26/19
332.84,332.18,333.06,331.1,,03/25/19
338.94,333.8,339.24,333.66,,03/22/19
337.25,338.69,339.05,336.39,,03/21/19
337.61,336.47,338.63,335.72,,03/20/19
337.44,337.73,339.19,337.16,,03/19/19
335.74,337.29,337.47,335.65,,03/18/19
333.62,335.57,336.07,333.59,,03/15/19
333.82,333.45,333.87,333.02,,03/14/19
331.71,333.43,334.09,331.23,,03/13/19
330.97,331.78,332.3,330.91,,03/12/19
326.46,330.16,330.39,326.37,,03/11/19
327.89,326.49,327.91,325,,03/08/19
331.17,328.47,331.22,327.51,,03/07/19
332.54,331.32,332.81,331.15,,03/06/19
332.76,332.49,333.05,331.99,,03/05/19
333.74,332.87,334.68,331.27,,03/04/19
332.03,333.58,334.24,331.95,,03/01/19
333.11,332.07,333.24,331.8,,02/28/19
333.86,333.35,333.88,332.06,,02/27/19
333.56,333.43,334.37,332.93,,02/26/19
332.59,333.53,334.81,332.58,,02/25/19
330.78,332.51,332.73,330.54,,02/22/19
331.58,330.97,332.07,330.12,,02/21/19
330.51,331.77,332.12,330.41,,02/20/19
329.76,330.2,330.9,329.01,,02/19/19
329.39,329.71,329.93,329.35,,02/18/19
326.24,328.58,328.93,325.65,,02/15/19
326.8,326.28,327.33,325.38,,02/14/19
326.4,327.11,327.99,326.37,,02/13/19
322.79,326.03,326.46,322.79,,02/12/19
322.27,322.43,323.17,322.05,,02/11/19
322.98,322.32,322.98,320.51,,02/08/19
326.38,323.5,326.4,322.1,,02/07/19
327.41,326.62,327.54,326.13,,02/06/19
325.51,327.33,327.45,325.41,,02/05/19
324.42,325.31,325.31,323.29,,02/04/19
324.14,324.25,324.76,323.53,,02/01/19
322.25,324.14,324.34,322.04,,01/31/19
317.94,321.15,322.51,317.82,,01/30/19
317.56,318,318.89,317.27,,01/29/19
320.02,317.84,320.22,316.55,,01/28/19
316.93,319.82,320.35,316.86,,01/25/19
316.14,316.78,317.02,315.5,,01/24/19
315.6,316.04,317.2,314.48,,01/23/19
319.12,315.81,319.14,314.79,,01/22/19
319.25,319.14,319.44,318.88,,01/21/19
315.67,319.11,319.26,315.64,,01/18/19
314.21,315.25,316.11,313.04,,01/17/19
313.25,314.03,314.69,313.01,,01/16/19
311.03,313.49,313.52,311.02,,01/15/19
312.44,310.92,312.47,309.95,,01/14/19
312.53,312.46,313.11,310.9,,01/11/19
311.44,312.47,312.47,309.75,,01/10/19
309.04,311.38,312.31,308.98,,01/09/19
306.63,308.54,309.12,306.21,,01/08/19
304.81,306.43,307.55,304.67,,01/07/19
295.42,303.72,304.09,295.38,,01/04/19
300.4,296.14,300.66,296.1,,01/03/19
301.19,300.2,301.19,296.86,,01/02/19
299.17,300.96,301.18,299.15,,12/31/18
297.51,299.01,301.35,297.47,,12/28/18
296.3,297.4,297.55,291.66,,12/27/18
288.25,295.6,295.6,287.64,,12/26/18
288.27,287.97,288.37,287.77,,12/25/18
293.55,289.27,293.66,289.23,,12/24/18
297.85,293.87,299.67,292.92,,12/21/18
301.71,297.82,301.83,296.57,,12/20/18
304.23,302.34,307.23,300.9,,12/19/18
304.94,304.24,306.6,303.28,,12/18/18
309.51,305.35,309.67,304.54,,12/17/18
314.29,309.38,314.29,309.04,,12/14/18
314.41,314.32,315.94,313.6,,12/13/18
311.19,314.27,316.61,311.17,,12/12/18
310.70662,310.71,310.71,310.70662,,12/11/18
312.11,310.4,312.33,306.8,,12/10/18
316.63,312.96,318.79,312.3,,12/07/18
319.54,316.39,319.54,311.3,,12/06/18
320.78,319.79,320.78,319.68,,12/05/18
328.36,321.41,328.37,321.1,,12/04/18
324.73,328.46,329.3,324.73,,12/03/18
323.34,324.09,324.14,322.38,,11/30/18
323.5,323.37,324.43,322.26,,11/29/18
317.93,322.34,323.17,317.74,,11/28/18
317.65,317.82,317.88,316.09,,11/27/18
313.83,317.55,317.7,313.78,,11/26/18
315.45,313.93,315.59,313.66,,11/23/18
315.64,315.41,315.91,315.21,,11/22/18
313.48,315.46,316.96,313.23,,11/21/18
319.22,314.32,319.24,313.23,,11/20/18
322.73,319.5,323.41,318.9,,11/19/18
321.68,322.49,323.23,320.67,,11/16/18
319.51,321.52,322.08,317.36,,11/15/18
321.42,319.58,323.03,318.54,,11/14/18
320.19,321.06,323.35,319.89,,11/13/18
326.19,321.41,326.44,321,,11/12/18
329.48,326.62,329.55,325.24,,11/09/18
330.75,329.93,331.24,328.71,,11/08/18
325.73,330.26,330.26,325.39,,11/07/18
324.3,325.34,325.41,324.06,,11/06/18
323.31,323.93,324.41,322.63,,11/05/18
323.65,323.54,326.62,322.17,,11/02/18
319.74,323.12,323.53,319.74,,11/01/18
313.68,319.94,321.43,313.38,,10/31/18
312.67,315.71,315.71,312.07,,10/30/18
314.09,312.69,317.78,310.31,,10/29/18
313.66,313.66,313.66,313.66,,10/26/18
317.36,317.36,317.36,317.36,,10/25/18
325.34,315.21,325.34,315.21,,10/24/18
326.19,321.69,327.29,321.69,,10/23/18
326.01,325.34,326.01,325.34,,10/22/18
326.19,326.19,326.19,326.19,,10/20/18
326.52,326.19,328.5,325.6,,10/19/18
330.46,326.52,330.46,325.54,,10/18/18
330.67,330.46,331.6,328.44,,10/17/18
325.16,330.67,330.83,325.02,,10/16/18
326.48,325.16,326.8,324.8,,10/15/18
326.67,326.67,326.67,326.67,,10/13/18
323.22,326.67,327.62,323.22,,10/12/18
330.57,323.22,330.57,322.48,,10/11/18
337.69,330.57,338.39,330.4,,10/10/18
338.5,337.69,338.83,336.7,,10/09/18
339.83,338.5,339.88,337.02,,10/08/18
339.8,339.8,339.8,339.8,,10/06/18
342.11,339.8,342.11,338.68,,10/05/18
345.53,342.11,345.53,340.68,,10/04/18
345.52,345.53,346.61,344.86,,10/03/18
346.62,345.52,346.91,344.98,,10/02/18
346,346.62,347.72,345.65,,10/01/18
346.08,346.08,346.08,346.08,,09/29/18
346.91,346.08,347.2,345.55,,09/28/18
346.89,346.91,347.77,345.84,,09/27/18
347.4,346.89,348.84,346.89,,09/26/18
347.21,347.4,347.92,346.8,,09/25/18
348.44,347.21,348.45,346.63,,09/24/18
348.52,348.52,348.52,348.52,,09/22/18
347.35,348.52,349.04,347.35,,09/21/18
344.65,347.35,347.9,344.65,,09/20/18
343.38,344.65,345.07,343.36,,09/19/18
341.6,343.38,343.71,341.42,,09/18/18
342.6,341.6,342.66,341.47,,09/17/18
342.81,342.81,342.81,342.81,,09/15/18
341.83,342.81,343.24,341.83,,09/14/18
339.94,341.83,342.53,339.94,,09/13/18
339.19,339.94,340.4,338.9,,09/12/18
338.81,339.19,339.49,337.33,,09/11/18
338.34,338.81,339.6,337.78,,09/10/18
338.52,338.52,338.52,338.52,,09/08/18
339.27,338.52,339.43,337.64,,09/07/18
340.61,339.27,340.77,338.51,,09/06/18
342.64,340.61,342.73,339.8,,09/05/18
344.42,342.64,344.42,341.73,,09/04/18
344.66,344.42,344.69,344.07,,09/03/18
345.06,345.06,345.06,345.06,,09/01/18
345.98,345.06,346.09,344.05,,08/31/18
347.71,345.98,348.2,345.62,,08/30/18
346.59,347.71,348.08,346.25,,08/29/18
346.19,346.59,347.42,346.19,,08/28/18
343,346.19,346.41,342.96,,08/27/18
342.92,342.92,342.92,342.92,,08/25/18
341.11,342.92,343.13,340.61,,08/24/18
342.16,341.11,342.21,340.59,,08/23/18
341.32,342.16,342.63,341.32,,08/22/18
340.02,341.32,342.45,340.02,,08/21/18
338.9,340.02,340.5,338.72,,08/20/18
338.64,338.64,338.64,338.64,,08/18/18
337.6,338.64,339.26,337.16,,08/17/18
335.58,337.6,338.26,334.99,,08/16/18
339.3,335.58,339.3,334.27,,08/15/18
337.95,339.3,339.51,337.82,,08/14/18
340.2,337.95,340.2,337.48,,08/13/18
340.45,340.45,340.45,340.45,,08/11/18
344.43,340.45,344.43,339.69,,08/10/18
344.81,344.43,345.1,343.95,,08/09/18
344.9,344.81,345.29,344.35,,08/08/18
343.2,344.9,345.54,343.18,,08/07/18
342.93,343.2,343.41,341.99,,08/06/18
343.05,343.05,343.05,343.05,,08/04/18
341.73,343.05,343.05,341.33,,08/03/18
342.77,341.73,342.85,339.66,,08/02/18
343.29,342.77,343.85,342.42,,08/01/18
